,SETTLEMENTDATE,WIND_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,SOLAR_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,ROOFTOP_PV_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,HYDRO_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,OTHER_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,BLACK_COAL_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,BROWN_COAL_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,GAS_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,NETINTERCHANGE_IMPORT_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,COAL_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,COAL_GAS_OTHER_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,WIND_SOLAR_ROOFTOP_PV_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,WIND_SOLAR_HYDRO_ROOFTOP_PV_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,CURTAILMENT_SHARE:REGIONAL_ENERGY_SOURCES1:SA1,DEMAND_AND_NONSCHEDGEN:REGIONAL_ENERGY_SOURCES1:SA1,DEMAND_AND_NONSCHEDGEN_AND_ROOFTOP_PV:REGIONAL_ENERGY_SOURCES1:SA1
126,2022-03-29 10:30:00,0.11517184905099999,17.9507670497,55.04605178,0.0,0.000521768665045,0.0,0.0,24.427280252600003,3.67163829977,0.0,24.427802021199998,73.1119906787,73.1119906787,0.0,746.98,1661.65600586
127,2022-03-29 10:35:00,0.197609821376,17.8935779993,55.4885659558,0.0,0.23881956103,0.0,0.0,22.5232079656,5.388627291440001,0.0,22.762027526599997,73.5797537764,73.5797537764,1.81810790383e-06,747.14,1678.53503418
128,2022-03-29 10:40:00,0.549695235761,17.4398731434,56.473881079899996,0.0,0.0779501954217,0.0,0.0,20.200514470399998,7.204318938210001,0.0,20.278464665799998,74.4634494592,74.4634494592,0.0,730.74,1678.85400391
129,2022-03-29 10:45:00,0.56029260021,18.4498779582,58.751284919899994,0.0,0.49071413503,0.0,0.0,18.5004682538,5.98331663095,0.0,18.9911823889,77.7614554783,77.7614554783,0.0,677.4,1642.23303223
130,2022-03-29 10:50:00,0.8872441990530001,18.3984509717,59.432097856599995,0.0,1.00866760363,0.0,0.0,15.9168208112,7.741808944500001,0.0,16.9254884148,78.71779302729999,78.71779302729999,0.0,670.0,1651.55200195
131,2022-03-29 10:55:00,1.0822172380600001,18.5284548808,60.5269129604,0.0,0.146041866442,0.0,0.0,13.767411273199999,5.98010889068,0.0,13.9134531396,80.13758507930001,80.13758507930001,0.0,651.03,1649.30102539
132,2022-03-29 11:00:00,1.31494685339,18.4898530099,61.0865687502,0.0,0.819029696791,0.0,0.0,13.586727715,4.78225277457,0.0,14.4057574118,80.8913686135,80.8913686135,0.0,646.57,1661.55999756
133,2022-03-29 11:05:00,1.83824729535,18.4810709096,61.54919698810001,0.0,1.14743364518,0.0,0.0,14.3074152404,4.71499236763,0.0,15.454848885499999,81.86851519300001,81.86851519300001,0.0,642.37,1670.6282959
134,2022-03-29 11:10:00,2.2448945096400004,18.416299198900003,61.7469311026,0.0,-0.0054145012821200005,0.0,0.0,12.6244500648,2.58541997274,0.0,12.619035563499999,82.4081248111,82.4081248111,0.0,645.24,1686.76660156
135,2022-03-29 11:15:00,2.36939077665,18.1358344394,61.253887391000006,0.0,1.2258193185100001,0.0,0.0,14.876338068699999,5.20439832149,0.0,16.102157387200002,81.7591126071,81.7591126071,0.0,667.21,1722.00506592
